id,effectV2,effectV1
8804,All worked stone within 50 yards oozes blood for 1d4 hours, All potions within 60 yards transform into small: edible pills
8805,All worked stone within 50 yards returns to its natural state, All potions within 60 yards turn to acid
8806,All worked stone within 50 yards turns to ice, All potions within 60 yards turn to chocolate syrup
8807,All written text within 50 yards appears reversed in sunlight, All potions within 60 yards turn to Class J poison
8808,All written text within 50 yards can only be read by moonlight, All potions within 60 yards turn to gasoline
8809,All written text within 50 yards hums audibly while being read, All potions within 60 yards turn to Oil of Timelessness
8810,All written text within 50 yards is reversed, All potions within 60 yards turn to Potions of Gender-changing
8811,All written text within 50 yards shrinks by 50%, All potions within 60 yards turn to Potions of Healing
8812,An ancient battle is endlessly reenacted on this site by ghosts, All potions within 60 yards turn to roast beef gravy
8813,An animal species native to the area acquires sentience, All potions within 60 yards turn to skunk musk
8814,An animal species native to the area actually controls the throne, All potions within 60 yards turn to Sovereign Glue
8815,An animal species native to the area is now immune to magic, All potions within 60 yards turn to Sweetwater
8816,An animal species native to the area quickly goes extinct, All potions within 60 yards vanish
8817,An arrogant: inarticulate twit achieves great political power, All potions within 60 yards work but also induce invisibility
8818,An asteroid 1d20 miles in diameter strikes the planet near here, All potions within 60 yards work but also induce lycanthropy
8819,An enormous black disc hovers over the area for 1d4 hours, All rabbits within 60 yards are reincarnated: as spell
8820,An enormous cache of classified documents is found nearby, All rabbits within 60 yards attack those nearest to them
8821,An enormous cache of D-Cell batteries is found nearby, All rabbits within 60 yards become Chaotic Evil
8822,An enormous castle formed entirely of ice appears nearby, All rabbits within 60 yards become humanoid rabbits
8823,An enormous fishing net settles over a 100 yard radius, All rabbits within 60 yards converge on the area
8824,An enormous head of sculpted stone bursts from the ground , All rabbits within 60 yards crave human flesh
8825,An enormous oak tree appears at the target point, All rabbits within 60 yards explode violently for 2d6 HP each
8826,An enormous sand castle appears at the target point, All rabbits within 60 yards gain human INT and power of speech
8827,An enormous volume of acrid smoke spews from the target point, All rabbits within 60 yards gain human INT and spellcasting
8828,An exact copy of the moon appears 180Â° away from the original one, All rabbits within 60 yards gain the power of flight
8829,An experimental forge in a nearby town achieves critical mass, All rabbits within 60 yards increase in size by 100X
8830,An incredibly dangerous and powerful artifact appears nearby, All rabbits within 60 yards induce lycanthropy with a bite
8831,An incredibly dangerous toxin is released into a nearby river, All rabbits within 60 yards think and act like dragons
8832,An incredibly foul entity is summoned to the target point, All rabbits within 60 yards turn carnivorous and hungry
8833,An ingot of metallic hydrogen appears at the target point, All rabbits within 60 yards turn to chocolate
8834,An ingot of neutronium appears at the target point, All reptiles within 60 yards become mammals
8835,An ingot of some impossible metal appears at the target point, All reptiles within 60 yards become warm blooded
8836,An intoxicatingly delightful scent issues from the target point, All reptiles within 60 yards begin smoldering
8837,An intricate maze of panels of ice sprouts in a 100 yard radius, All residents of the nearest village become nocturnal
8838,An intricate maze of tall hedges sprouts in a 100 yard radius, All residents of the nearest village choose live in the woods
8839,An intricate sculpture of blown glass appears at the target point, All residents of the nearest village turn to friendly kobolds
8840,An invisible: whistling octopus slithers through the area, All residents of the nearest village vanish without a trace
8841,An overpoweringly foul stench issues from the target point, All rocks within 60 yards are covered with bark
8842,An unusually virulent form of plague breaks out in a nearby town, All rocks within 60 yards roll toward the area of effect
8843,Ants appear to swarm on all blades within 50 yards, All rodents within 1 mile appear in the area
8844,Any active charms and enchantments nearby are negated until dawn, All rodents within 1 mile double in size
8845,Any alcoholic beverages within 50 yards are now 10X as potent, All rods/staves/wands within 60 yards are recharged
8846,Any alcoholic beverages within 50 yards become powerfully toxic, All rods/staves/wands within 60 yards become sentient
8847,Any alcoholic beverages within 50 yards combust violently, All rods/staves/wands within 60 yards discharge randomly
8848,Any alcoholic beverages within 50 yards induce temporary insanity, All rods/staves/wands within 60 yards gain 1d10 charges
8849,Any alcoholic beverages within 50 yards turn to mercury, All rods/staves/wands within 60 yards lose 1d10 charges
8850,Any artifacts within 50 miles become non-functional for 2d6 days, All rods/staves/wands within 60 yards turn to balsa wood
8851,Any beneficial enchantments now in effect nearby are dispelled, All rods/staves/wands within 60 yards twist like corkscrews
8852,Any blades currently sheathed nearby make their sheathes combust, All scabbards and sheaths within 60 yards fill with butter
8853,Any blood spilled in this area combusts on contact with water, All shapeshifters for 5 miles are stuck in the current forms
8854,Any blood spilled in this area discolors the ground, All shapeshifters for 5 miles assume true forms for 1d8 turns
8855,Any charged magical items nearby are fully recharged, All shapeshifters for 5 miles can assume yet another form
8856,Any charged magical items nearby are triggered upon their owners, All slain within 60 yards stand at attention where they fall
8857,Any charged magical items nearby can't be used until tomorrow, All sleeping creatures within 1 mile awaken
8858,Any charged magical items nearby lose 1d10 charges, All sling stones and the like within 60 yards turn to ice
8859,Any exposed rock nearby is polished as smooth as glass, All soil within 30â€™ becomes sodium; rain falls for 5d4 rounds
8860,Any fireball cast nearby is 1% likely to scorch a one mile radius, All soil within 60 yards turns to concrete
8861,Any fires now burning within 10 miles are extinguished, All soil: rocks: and minerals in 10:000 square yard area vanish
8862,Any fires now burning within 10 miles exude hallucinogenic smoke, All sound generated within 60 yards doubles in volume
8863,Any fires now burning within 10 miles provide no heat, All sound within 60 yards is distorted as though underwater
